17:52:09 INFO  Dron {sucorrientazo.actors.Dron entregarAlmuerzos} - SUCORRIENTAZO - **************************************** REPORTE = Reporte(List((ACTOR_DRON = dron1, -3, -1, Este), (ACTOR_DRON = dron1, -1, 0, Sur), (ACTOR_DRON = dron1, 0, -2, Sur), (ACTOR_DRON = dron1, 3, -1, Sur))) *******************************************
17:52:09 INFO  Dron {sucorrientazo.actors.Dron entregarAlmuerzos} - SUCORRIENTAZO - **************************************** REPORTE = Reporte(List((ACTOR_DRON = dron0, -3, -1, Este), (ACTOR_DRON = dron0, -1, 0, Sur), (ACTOR_DRON = dron0, 0, -2, Sur), (ACTOR_DRON = dron0, 3, -1, Sur))) *******************************************
17:52:09 INFO  Dron {sucorrientazo.actors.Dron entregarAlmuerzos} - SUCORRIENTAZO - **************************************** REPORTE = Reporte(List((ACTOR_DRON = dron2, -3, -1, Este), (ACTOR_DRON = dron2, -1, 0, Sur), (ACTOR_DRON = dron2, 0, -2, Sur), (ACTOR_DRON = dron2, 3, -1, Sur))) *******************************************
17:55:15 INFO  Dron {sucorrientazo.actors.Dron entregarAlmuerzos} - SUCORRIENTAZO - **************************************** REPORTE = Reporte(List((ACTOR_DRON = dron1, -2, -1, Este), (ACTOR_DRON = dron1, -1, 0, Sur), (ACTOR_DRON = dron1, -1, -2, Sur), (ACTOR_DRON = dron1, 2, 0, Sur))) *******************************************
17:55:15 INFO  Dron {sucorrientazo.actors.Dron entregarAlmuerzos} - SUCORRIENTAZO - **************************************** REPORTE = Reporte(List((ACTOR_DRON = dron0, -3, -1, Este), (ACTOR_DRON = dron0, -1, 0, Sur), (ACTOR_DRON = dron0, 0, -2, Sur), (ACTOR_DRON = dron0, 3, -1, Sur))) *******************************************
17:55:15 INFO  Dron {sucorrientazo.actors.Dron entregarAlmuerzos} - SUCORRIENTAZO - **************************************** REPORTE = Reporte(List((ACTOR_DRON = dron2, -1, 0, Norte), (ACTOR_DRON = dron2, -1, 0, Norte), (ACTOR_DRON = dron2, -3, 2, Oeste), (ACTOR_DRON = dron2, -1, -1, Sur))) *******************************************
21:21:52 INFO  Dron {sucorrientazo.actors.Dron entregarAlmuerzos} - SUCORRIENTAZO - **************************************** REPORTE = Reporte(List((ACTOR_DRON = dron-1, -2, -1, Este), (ACTOR_DRON = dron-1, -1, 0, Sur), (ACTOR_DRON = dron-1, -1, -2, Sur), (ACTOR_DRON = dron-1, 2, 0, Sur))) *******************************************
21:21:52 INFO  Dron {sucorrientazo.actors.Dron entregarAlmuerzos} - SUCORRIENTAZO - **************************************** REPORTE = Reporte(List((ACTOR_DRON = dron-0, -3, -1, Este), (ACTOR_DRON = dron-0, -1, 0, Sur), (ACTOR_DRON = dron-0, 0, -2, Sur), (ACTOR_DRON = dron-0, 3, -1, Sur))) *******************************************
21:21:52 INFO  Dron {sucorrientazo.actors.Dron entregarAlmuerzos} - SUCORRIENTAZO - **************************************** REPORTE = Reporte(List((ACTOR_DRON = dron-2, -1, 0, Norte), (ACTOR_DRON = dron-2, -1, 0, Norte), (ACTOR_DRON = dron-2, -3, 2, Oeste), (ACTOR_DRON = dron-2, -1, -1, Sur))) *******************************************
21:22:21 INFO  Dron {sucorrientazo.actors.Dron entregarAlmuerzos} - SUCORRIENTAZO - **************************************** REPORTE = Reporte(List((ACTOR_DRON = dron-3, -3, -1, Este), (ACTOR_DRON = dron-3, -1, 0, Sur), (ACTOR_DRON = dron-3, 0, -2, Sur), (ACTOR_DRON = dron-3, 3, -1, Sur))) *******************************************
21:22:21 INFO  Dron {sucorrientazo.actors.Dron entregarAlmuerzos} - SUCORRIENTAZO - **************************************** REPORTE = Reporte(List((ACTOR_DRON = dron-4, -2, -1, Este), (ACTOR_DRON = dron-4, -1, 0, Sur), (ACTOR_DRON = dron-4, -1, -2, Sur), (ACTOR_DRON = dron-4, 2, 0, Sur))) *******************************************
21:22:21 INFO  Dron {sucorrientazo.actors.Dron entregarAlmuerzos} - SUCORRIENTAZO - **************************************** REPORTE = Reporte(List((ACTOR_DRON = dron-5, -1, 0, Norte), (ACTOR_DRON = dron-5, -1, 0, Norte), (ACTOR_DRON = dron-5, -3, 2, Oeste), (ACTOR_DRON = dron-5, -1, -1, Sur))) *******************************************
21:22:57 INFO  Dron {sucorrientazo.actors.Dron entregarAlmuerzos} - SUCORRIENTAZO - **************************************** REPORTE = Reporte(List((ACTOR_DRON = dron-6, -3, -1, Este), (ACTOR_DRON = dron-6, -1, 0, Sur), (ACTOR_DRON = dron-6, 0, -2, Sur), (ACTOR_DRON = dron-6, 3, -1, Sur))) *******************************************
